,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Uruguay_result_value
33,33,423,180,322,1990-06-13,1990,Italy,Udine,Dacia Arena,35713.0,Groups,Uruguay,URU,Spain,ESP,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
34,34,435,66,322,1990-06-17,1990,Italy,Verona,Marc Antonio Bentegodi,33759.0,Groups,Belgium,BEL,Uruguay,URU,2,0,1,1,3,1,Belgium,2.0,0.0,1.0,1.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
35,35,444,290,322,1990-06-21,1990,Italy,Udine,Friuli,29039.0,Groups,South Korea,KOR,Uruguay,URU,0,0,0,1,0,1,Uruguay,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
36,36,453,264,323,1990-06-25,1990,Italy,Rome,Stadio Olimpico,73303.0,Round of 16,Italy,ITA,Uruguay,URU,0,0,2,0,2,0,Italy,0.0,0.0,2.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
37,37,581,43950003,43950100,2002-06-01,2002,South Korea,Ulsan,Munsu Football Stadium,30157.0,Groups,Uruguay,URU,Denmark,DEN,0,1,1,1,1,2,Denmark,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
38,38,599,43950018,43950100,2002-06-06,2002,South Korea,Busan,Busan Asiad Main Stadium,38289.0,Groups,France,FRA,Uruguay,URU,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
39,39,613,43950034,43950100,2002-06-11,2002,South Korea,Suwon,Suwon World Cup Stadium,33681.0,Groups,Senegal,SEN,Uruguay,URU,3,0,0,3,3,3,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
40,40,709,300061453,249722,2010-06-11,2010,South Africa,Cape Town,Cape Town Stadium,64100.0,Groups,Uruguay,URU,France,FRA,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
41,41,724,300061452,249722,2010-06-16,2010,South Africa,Pretoria,Loftus Versfeld Stadium,42658.0,Groups,South Africa,RSA,Uruguay,URU,0,1,0,2,0,3,Uruguay,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
42,42,740,300061450,249722,2010-06-22,2010,South Africa,Rustenburg,Royal Bafokeng Sports Palace,33425.0,Groups,Mexico,MEX,Uruguay,URU,0,1,0,0,0,1,Uruguay,1.0,0.0,0.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
43,43,756,300061504,249717,2010-06-26,2010,South Africa,Port Elizabeth,Port Elizabeth Stadium,30597.0,Round of 16,Uruguay,URU,South Korea,KOR,1,0,1,1,2,1,Uruguay,1.0,0.0,1.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
44,44,765,300061508,249718,2010-07-02,2010,South Africa,Johannesburg,Soccer City Stadium,84017.0,Quarterfinals,Uruguay,URU,Ghana,GHA,0,0,1,1,1,1,Uruguay,0.0,0.0,1.0,1.0,1.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
45,45,768,300061512,249719,2010-07-06,2010,South Africa,Cape Town,Cape Town Stadium,62479.0,Semifinals,Uruguay,URU,Netherlands,NED,1,1,1,2,2,3,Netherlands,1.0,1.0,2.0,1.0,3.0,2.0,Semifinals,Semifinals,4.0,4.0,4.0
46,46,770,300061510,249720,2010-07-10,2010,South Africa,Port Elizabeth,Port Elizabeth Stadium,36254.0,Third place,Uruguay,URU,Germany,GER,1,1,1,2,2,3,Germany,1.0,1.0,2.0,1.0,3.0,2.0,Third place,Third place,5.0,5.0,5.0
47,47,777,300186489,255931,2014-06-14,2014,Brazil,Fortaleza,Estadio Castelao,58679.0,Groups,Uruguay,URU,Costa Rica,CRC,1,0,0,3,1,3,Costa Rica,0.0,1.0,3.0,0.0,3.0,1.0,Groups,Groups,1.0,1.0,1.0
48,48,793,300186486,255931,2014-06-19,2014,Brazil,São Paulo,Arena de Sao Paulo,62575.0,Groups,Uruguay,URU,England,ENG,1,0,1,1,2,1,Uruguay,1.0,0.0,1.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
49,49,808,300186465,255931,2014-06-24,2014,Brazil,Natal,Estadio das Dunas,39706.0,Groups,Italy,ITA,Uruguay,URU,0,0,0,1,0,1,Uruguay,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
50,50,821,300186491,255951,2014-06-28,2014,Brazil,Rio de Janeiro,Estadio do Maracana,73804.0,Round of 16,Colombia,COL,Uruguay,URU,1,0,1,0,2,0,Colombia,1.0,0.0,1.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
51,51,837,300186491,255951,2014-06-28,2014,Brazil,Rio de Janeiro,Estadio do Maracana,73804.0,Round of 16,Colombia,COL,Uruguay,URU,1,0,1,0,2,0,Colombia,1.0,0.0,1.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
